Number-i,status,conant-id,lounsbery-id,Purported-id,Approx-age-in-1911,verification,notes
1,CONFLICT,Paul Landon on ladder,On Ladder: ?,,,,
2,VERIFIED,Jessie Shurter,Jessie Shurter Brewer,Jessie M. (Shurter) Brewer (1881-1974),30,VERIFIED based on other known photos of Jessie Brewer.,
3,CONFLICT,Elihu Personeus,(?boy),,,,
4,,Laura Baker,Laura Baker,Laura (Dorn) Baker (1860-1933),,,
5,CONFLICT,Mrs. Spaulding,?,,,,
6,,Lide Vorhis,Lide Vorhis,,,,
7,,Cassie Landon,Cassie Landon,Catharine F. “Cassie” (Woodhull) Landon (1870-1944),,,
8,,Anna Mulks,Anna Mulks,Anna M. Mulks (1869-1949),,,
9,,George Peck,George Peck,George Riley Peck (1851-1916),,,
10,,Mr. Gorsline,Alonzo Gosline,Alonzo Gorsline (1840-1914),,,
11,AMBIGUOUS,Mrs. Lockwood,Mittie Lockwood,Mittie A. (Peer) Lockwood (1863-1939),,,
12,CONFLICT,Mrs. Kiser,Margaret Nuttall,,,,
13,AMBIGUOUS,Mary Nuttall,Mame Nuttall,,,,
14,,Mrs Mason,Florence Mason,,,,
15,CONFLICT,Mrs Dan White,?,,,,
16,,Tillie McWhorter,Tillie McWhorter,Tillie A. McWhorter (1874-1960),,,
17,,Fannie Miller,Fannie Miller,,,,
18,NO ID,Blind Man No ID,? boy,,,,
19,CONFLICT,Sarah Wall,(missing from photo),,,,
20,VERIFIED,"Mr. Robinson, Preacher",?,Reverend Edward Weeks Robinson (1883-1957),28,"VERIFIED based on other known photos, both public and in the collection of Jeffrey Smith Jr. of Woodhull NY.",
21,CONFLICT,Mrs. Dr. Lockwood,?,,,,“Mrs. Dr. Lockwood” is Mittie A. (Peer) Lockwood
22,CONFLICT,(unidentified),Tom Nuttall,,,,
23,CONFLICT,(unidentified),Deforest McWhorter,Deforest L. McWhorter (1863-1930),,,
